iter	PRAUC	Logloss	PRAUC:use_weights=true	PRAUC:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false
112	0.7818382511	0.5910065606	0.7818382511	0.519493984	0.6800074808	0.6800074808	0.6951333469	0.3465167254	0.6874872254	0.4590909091
113	0.7820852286	0.5907778303	0.7820852286	0.5198584596	0.6801945016	0.6801945016	0.6950989245	0.3464799467	0.6875659514	0.4591012371
114	0.7822025842	0.5904124855	0.7822025842	0.5200398031	0.6807555639	0.6807555639	0.6953045272	0.3466996857	0.6879531331	0.4594219361
115	0.7822615091	0.5900696589	0.7822615091	0.5201242881	0.6801945016	0.6801945016	0.6953770864	0.3467772693	0.6877020067	0.4593621724
116	0.7824368066	0.5898309026	0.7824368066	0.5204126328	0.6801945016	0.6801945016	0.6953770864	0.3467772693	0.6877020067	0.4593621724
117	0.7825038137	0.5896325352	0.7825038137	0.5204871701	0.6800074808	0.6800074808	0.6952569932	0.3466488702	0.6875476905	0.4592068704
118	0.782494267	0.5892643656	0.782494267	0.5204913069	0.6794464186	0.6794464186	0.6953295831	0.3467264745	0.6872962496	0.4591469194
119	0.7825781744	0.5889041462	0.7825781744	0.520620526	0.679072377	0.679072377	0.6949344252	0.3463042442	0.6869118424	0.4586912582
120	0.7826764322	0.5885495075	0.7826764322	0.5207390219	0.6800074808	0.6800074808	0.6955044178	0.3469134625	0.6876686527	0.4594389689
121	0.7828273672	0.5882206071	0.7828273672	0.5209930368	0.6807555639	0.6807555639	0.6957062944	0.347129506	0.6881497339	0.4597991537
122	0.7829180565	0.5879730671	0.7829180565	0.5210842723	0.6803815223	0.6803815223	0.6952498716	0.3466412577	0.6877353456	0.4592854438
123	0.7830759351	0.5877039759	0.7830759351	0.5213119317	0.6818776884	0.6818776884	0.6950981703	0.3464791409	0.6884244638	0.4594833018
124	0.7832097809	0.587412698	0.7832097809	0.5215314122	0.6813166261	0.6813166261	0.6948928582	0.3462598612	0.6880377778	0.4591630955
125	0.7834688657	0.5870066999	0.7834688657	0.5219375338	0.6815036469	0.6815036469	0.6951051899	0.3464866407	0.6882372236	0.459404942
126	0.7834980092	0.5867537958	0.7834980092	0.5219630949	0.6809425846	0.6809425846	0.695115734	0.3464979064	0.6879561689	0.4592872911
127	0.7836103844	0.5863548978	0.7836103844	0.5221420917	0.6818776884	0.6818776884	0.6956224748	0.3470397868	0.6886815084	0.4599760298
128	0.7836878714	0.5859805932	0.7836878714	0.5222318975	0.6824387507	0.6824387507	0.6959509002	0.3473914699	0.6891285967	0.4604125923
129	0.7837591274	0.5857389053	0.7837591274	0.5222952241	0.6820647092	0.6820647092	0.6957422643	0.3471680152	0.6888355979	0.4601312137
130	0.7837330875	0.5854633425	0.7837330875	0.5222381383	0.6826257715	0.6826257715	0.6960088786	0.3474535935	0.6892523667	0.4605097149
131	0.7838358026	0.5851328355	0.7838358026	0.5223705022	0.682999813	0.682999813	0.6958471531	0.3472803347	0.6893636308	0.4604425392
132	0.7839366193	0.5849206386	0.7839366193	0.5225153383	0.6835608753	0.6835608753	0.6961133966	0.3475656143	0.6897800334	0.4608207779
133	0.7840257986	0.5845505411	0.7840257986	0.5226568584	0.6826257715	0.6826257715	0.6958854399	0.3473213436	0.6891918344	0.4603935419
134	0.7841148575	0.5842026854	0.7841148575	0.5227509874	0.6833738545	0.6833738545	0.6967345512	0.3482321548	0.689989531	0.4613636364
135	0.7843669845	0.5839064989	0.7843669845	0.523117813	0.6824387507	0.6824387507	0.6964451462	0.347921434	0.6893708115	0.4608778023
136	0.7844079817	0.5836724511	0.7844079817	0.5231605487	0.6826257715	0.6826257715	0.6961632385	0.3476190476	0.689328047	0.4606550136
137	0.7845501497	0.583437147	0.7845501497	0.5233835771	0.6831868337	0.6831868337	0.6965531403	0.3480373476	0.6898052436	0.4611500347
138	0.7846577146	0.5832076992	0.7846577146	0.523555418	0.6833738545	0.6833738545	0.6964874735	0.3479668603	0.6898683508	0.461130742
139	0.7848402243	0.5829619481	0.7848402243	0.5238172461	0.6839349168	0.6839349168	0.6965066466	0.3479874393	0.6901635361	0.4612764884
140	0.784983367	0.5825976432	0.784983367	0.5240087542	0.6835608753	0.6835608753	0.6962059054	0.347664796	0.6898254469	0.4609079445
141	0.785086744	0.5823274174	0.785086744	0.5241464613	0.6841219375	0.6841219375	0.6963177513	0.34778475	0.6901659711	0.4611408761
142	0.785171728	0.5820920978	0.785171728	0.5242968707	0.6839349168	0.6839349168	0.6961982818	0.3476566214	0.6900121154	0.4609857557
143	0.7852831986	0.581939441	0.7852831986	0.5244691508	0.6841219375	0.6841219375	0.6961020433	0.3475534442	0.6900599978	0.4609375
144	0.7853473246	0.5815995174	0.7853473246	0.5245482068	0.6848700206	0.6848700206	0.6963331894	0.3478013107	0.6905540362	0.4613252708
145	0.7854800795	0.5814099227	0.7854800795	0.5247546295	0.6863661866	0.6863661866	0.6968559663	0.3483626009	0.6915713014	0.4621584183
146	0.7855178821	0.5811868682	0.7855178821	0.5247866102	0.6869272489	0.6869272489	0.6967518038	0.3482506874	0.6918046476	0.4621869888
147	0.7856595939	0.5810007104	0.7856595939	0.5249758131	0.6880493735	0.6880493735	0.6970351306	0.3485551871	0.6925131044	0.4627090932
148	0.7858218107	0.5806702494	0.7858218107	0.5252300489	0.6873012904	0.6873012904	0.6967439083	0.348242206	0.6919903884	0.4622641509
149	0.7859386609	0.5803085971	0.7859386609	0.5253987342	0.6878623527	0.6878623527	0.6970084358	0.3485264854	0.6924051926	0.4626415094
150	0.7860487757	0.5801162127	0.7860487757	0.525538371	0.687675332	0.687675332	0.6968895682	0.3483987114	0.6922517899	0.4624866361
151	0.786178773	0.5798748138	0.786178773	0.5256970573	0.6878623527	0.6878623527	0.6966706993	0.3481635744	0.6922385068	0.4623216643
152	0.7862990347	0.5794751265	0.7862990347	0.5258876029	0.6878623527	0.6878623527	0.6967320816	0.348229502	0.6922688074	0.462379785
153	0.7863913786	0.5792983406	0.7863913786	0.5260120391	0.687675332	0.687675332	0.6966439262	0.348134823	0.6921305766	0.46225407
154	0.7865518798	0.5791140509	0.7865518798	0.5262321601	0.687675332	0.687675332	0.6965211701	0.3480030286	0.6920699859	0.4621378747
155	0.7867283894	0.5788611854	0.7867283894	0.5265100006	0.687675332	0.687675332	0.696551855	0.3480359678	0.6920851326	0.462166918
156	0.7867967705	0.5786130338	0.7867967705	0.526615116	0.6886104358	0.6886104358	0.6966856854	0.348179669	0.6926245242	0.4625047105
157	0.7869906492	0.5783992864	0.7869906492	0.5269056064	0.6882363942	0.6882363942	0.6965708594	0.34805637	0.6923785463	0.4623115578
158	0.7871356918	0.5781702812	0.7871356918	0.5271109978	0.6893585188	0.6893585188	0.6969457217	0.348459066	0.693131358	0.4629199372
159	0.7872945115	0.5780321387	0.7872945115	0.5273702051	0.6893585188	0.6893585188	0.696915077	0.3484261272	0.6931162025	0.4628908703
160	0.7873991963	0.5777626856	0.7873991963	0.5275363215	0.6895455396	0.6895455396	0.6968804626	0.3483889256	0.6931935983	0.4629001883
161	0.7874865565	0.5775917203	0.7874865565	0.527653232	0.6899195811	0.6899195811	0.6968113005	0.3483146067	0.6933483157	0.4629188104
162	0.787596294	0.5774321424	0.787596294	0.527813045	0.6895455396	0.6895455396	0.6968192041	0.3483230987	0.6931632909	0.4628420788
163	0.7876434836	0.5772423467	0.7876434836	0.5279264755	0.6901066018	0.6901066018	0.6969603889	0.3484748324	0.6935165624	0.4631024096
164	0.7877533936	0.5770463852	0.7877533936	0.5280902607	0.6904806434	0.6904806434	0.6970442146	0.3485649547	0.6937469047	0.4632662024
165	0.787842189	0.5768074592	0.787842189	0.5282265673	0.6910417056	0.6910417056	0.6970933515	0.3486177941	0.6940543373	0.463439107
166	0.7879937442	0.5766403346	0.7879937442	0.528451096	0.6910417056	0.6910417056	0.6970016106	0.3485191473	0.6940088629	0.4633519343
167	0.7881455483	0.5764147196	0.7881455483	0.528671213	0.6908546849	0.6908546849	0.6969750249	0.348490566	0.6939013595	0.4632846303
168	0.7883679461	0.5762405523	0.7883679461	0.529034034	0.6904806434	0.6904806434	0.6970442146	0.3485649547	0.6937469047	0.4632662024
169	0.7885066734	0.5760851476	0.7885066734	0.5292539355	0.6910417056	0.6910417056	0.6970933515	0.3486177941	0.6940543373	0.463439107
170	0.7886685436	0.5758431357	0.7886685436	0.5294677968	0.6916027679	0.6916027679	0.6971118531	0.3486376921	0.6943463831	0.4635828006
171	0.7887761102	0.5757061477	0.7887761102	0.5296094791	0.6917897887	0.6917897887	0.6973217628	0.3488635292	0.6945447605	0.4638244514
172	0.788880719	0.5754885022	0.788880719	0.5298165917	0.6916027679	0.6916027679	0.6968369113	0.3483421251	0.6942099738	0.4633214308
173	0.7890162066	0.5753449871	0.7890162066	0.5300290473	0.6916027679	0.6916027679	0.6968369113	0.3483421251	0.6942099738	0.4633214308
174	0.7890542078	0.5751795553	0.7890542078	0.5301046402	0.6912287264	0.6912287264	0.6968753656	0.348383448	0.6940405611	0.4632740035
175	0.7891841778	0.5749781031	0.7891841778	0.530270522	0.6921638302	0.6921638302	0.697191407	0.3487232639	0.6946685221	0.4637844612
176	0.789307445	0.5747740877	0.789307445	0.5304853544	0.6916027679	0.6916027679	0.6967453122	0.3482437141	0.6941645159	0.463234373
177	0.7894048275	0.5746083899	0.7894048275	0.5306412084	0.6923508509	0.6923508509	0.697034724	0.34855475	0.6946848924	0.4636773547
178	0.7895497187	0.5743401804	0.7895497187	0.5308898093	0.6927248925	0.6927248925	0.6973929738	0.348940179	0.6950510953	0.4641022428
179	0.7896603832	0.5741985968	0.7896603832	0.5310557239	0.693098934	0.693098934	0.697415304	0.3489642185	0.6952504197	0.4642074278
180	0.7897520268	0.573978897	0.7897520268	0.5311919029	0.6934729755	0.6934729755	0.6976512275	0.3492183085	0.6955558268	0.464516129
181	0.7897822466	0.5737961871	0.7897822466	0.5312412192	0.6932859547	0.6932859547	0.6973806919	0.3489269578	0.695327295	0.4642163922
182	0.7898586344	0.5735774126	0.7898586344	0.5313708886	0.693847017	0.693847017	0.6973989165	0.3489465764	0.6956184327	0.4643594718
183	0.7898956619	0.5733153053	0.7898956619	0.5314107273	0.6936599963	0.6936599963	0.6975555231	0.3491152108	0.6956023058	0.4644668462
184	0.7900242548	0.5731359134	0.7900242548	0.5316151928	0.6934729755	0.6934729755	0.697590181	0.3491525424	0.6955254853	0.4644579445
185	0.7901084741	0.5729630654	0.7901084741	0.531716845	0.693847017	0.693847017	0.6976734109	0.3492422103	0.6957549531	0.4646211647
186	0.7901710177	0.5728191851	0.7901710177	0.5318108008	0.6942210585	0.6942210585	0.6977870745	0.3493647059	0.6959994988	0.4648134235
187	0.7902277097	0.5726332732	0.7902277097	0.5319134676	0.6945951001	0.6945951001	0.6977786804	0.349355658	0.6961832507	0.4648892227
188	0.7903316365	0.5724613753	0.7903316365	0.5320760566	0.6949691416	0.6949691416	0.6977702956	0.3493466203	0.6963669016	0.464964965
189	0.7904065846	0.5723492556	0.7904065846	0.5322035227	0.6957172246	0.6957172246	0.6980275883	0.3496240602	0.6968704916	0.4653781197
